1,アマランサス,0.127,0.06,0.649,2020/8/4,2020/8/4
2,あわ,0.112,0.044,0.697,2020/8/4,2020/8/4
3,あわもち,0.051,0.013,0.453,2020/8/4,2020/8/4
4,オートミール,0.137,0.057,0.691,2020/8/4,2020/8/4
5,七分つき押麦(大麦),0.109,0.021,0.721,2020/8/4,2020/8/4
6,大麦(押麦),0.062,0.013,0.778,2020/8/4,2020/8/4
7,大麦,0.07,0.021,0.762,2020/8/4,2020/8/4
8,乾,0.129,0.017,0.68,2020/8/4,2020/8/4
9,大麦めん,0.048,0.006,0.243,2020/8/4,2020/8/4
10,麦こがし,0.125,0.05,0.771,2020/8/4,2020/8/4
11,きび,0.113,0.033,0.709,2020/8/4,2020/8/4
12,小麦,0.106,0.031,0.722,2020/8/4,2020/8/4
13,薄力粉(1等),0.083,0.015,0.758,2020/8/4,2020/8/4
14,薄力粉(2等),0.093,0.019,0.743,2020/8/4,2020/8/4
15,中力粉(1等),0.09,0.016,0.751,2020/8/4,2020/8/4
16,中力粉(2等),0.097,0.018,0.74,2020/8/4,2020/8/4
17,強力粉(1等),0.118,0.015,0.717,2020/8/4,2020/8/4
18,強力粉(2等),0.126,0.017,0.706,2020/8/4,2020/8/4
19,全粒粉,0.128,0.029,0.682,2020/8/4,2020/8/4
20,お好み焼き粉,0.101,0.019,0.736,2020/8/4,2020/8/4
21,ホットケーキ粉,0.078,0.04,0.744,2020/8/4,2020/8/4
22,から揚げ粉,0.102,0.012,0.7,2020/8/4,2020/8/4
23,てんぷら粉,0.088,0.013,0.761,2020/8/4,2020/8/4
24,食パン,0.093,0.044,0.467,2020/8/4,2020/8/4
25,コッペパン,0.085,0.038,0.491,2020/8/4,2020/8/4
26,乾パン,0.095,0.044,0.788,2020/8/4,2020/8/4
27,フランスパン,0.094,0.013,0.575,2020/8/4,2020/8/4
28,ライ麦パン,0.084,0.022,0.527,2020/8/4,2020/8/4
29,ぶどうパン,0.082,0.035,0.511,2020/8/4,2020/8/4
30,ロールパン,0.101,0.09,0.486,2020/8/4,2020/8/4
31,クロワッサン,0.079,0.268,0.439,2020/8/4,2020/8/4
32,イングリッシュマフィン,0.081,0.036,0.408,2020/8/4,2020/8/4
33,ナン,0.103,0.034,0.476,2020/8/4,2020/8/4
34,ベーグル,0.096,0.02,0.546,2020/8/4,2020/8/4
35,うどん,0.026,0.004,0.216,2020/8/4,2020/8/4
36,干しうどん,0.031,0.005,0.258,2020/8/4,2020/8/4
37,そうめん,0.035,0.004,0.258,2020/8/4,2020/8/4
38,手延そうめん,0.035,0.006,0.255,2020/8/4,2020/8/4
39,中華めん,0.049,0.006,0.292,2020/8/4,2020/8/4
40,蒸し中華めん,0.053,0.017,0.384,2020/8/4,2020/8/4
41,干し中華めん,0.041,0.005,0.281,2020/8/4,2020/8/4
42,沖縄そば,0.052,0.008,0.28,2020/8/4,2020/8/4
43,干し沖縄そば,0.052,0.006,0.286,2020/8/4,2020/8/4
44,インスタントラーメン(麺),0.101,0.191,0.614,2020/8/4,2020/8/4
45,インスタントラーメン(ノンフライ麺),0.103,0.052,0.671,2020/8/4,2020/8/4
46,カップラーメン(麺),0.107,0.197,0.569,2020/8/4,2020/8/4
47,カップ焼きそば(麺),0.084,0.189,0.581,2020/8/4,2020/8/4
48,カップラーメン(ノンフライ麺),0.09,0.064,0.622,2020/8/4,2020/8/4
49,カップうどん,0.109,0.201,0.566,2020/8/4,2020/8/4
50,マカロニ・スパゲッティ,0.054,0.009,0.32,2020/8/4,2020/8/4
51,生パスタ,0.078,0.019,0.469,2020/8/4,2020/8/4
52,生ふ,0.127,0.008,0.262,2020/8/4,2020/8/4
53,釜焼きふ,0.285,0.027,0.569,2020/8/4,2020/8/4
54,板ふ,0.256,0.033,0.573,2020/8/4,2020/8/4
55,車ふ,0.302,0.034,0.542,2020/8/4,2020/8/4
56,小麦はいが,0.32,0.116,0.483,2020/8/4,2020/8/4
57,小麦たんぱく(粉末),0.72,0.097,0.106,2020/8/4,2020/8/4
58,小麦たんぱく(粒),0.2,0.02,0.018,2020/8/4,2020/8/4
59,小麦たんぱく(ペースト),0.25,0.041,0.039,2020/8/4,2020/8/4
60,ぎょうざの皮,0.093,0.014,0.57,2020/8/4,2020/8/4
61,しゅうまいの皮,0.083,0.014,0.589,2020/8/4,2020/8/4
62,ピザ生地,0.091,0.03,0.511,2020/8/4,2020/8/4
63,ちくわぶ,0.071,0.012,0.311,2020/8/4,2020/8/4
64,パン粉(生),0.11,0.051,0.476,2020/8/4,2020/8/4
65,パン粉(半生),0.125,0.058,0.543,2020/8/4,2020/8/4
66,パン粉(乾燥),0.146,0.068,0.634,2020/8/4,2020/8/4
67,冷麺,0.039,0.007,0.576,2020/8/4,2020/8/4
